states: location[$x],states: location[$y]
1.0099755913632422,1.0099755913632422
2.019550892982016,2.019550892982016
3.0221938272849314,3.0221938272849314
3.9137765010970917,3.9137765010970917
4.045114148772821,4.045114148772821
4.118828761616192,4.118828761616192
4.295313741483094,4.295313741483094
4.700251353239069,4.700251353239069
5.467743683423035,5.467743683423035
6.446747106676891,6.446747106676891
7.004441054358551,7.004441054358551
6.999957400218532,6.999957400218532
7.000000408406871,7.000000408406871
6.999999996084556,6.999999996084556
7.000000000037538,7.000000000037538
6.99999999999964,6.99999999999964
7.0000000000000036,7.0000000000000036
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
